protocolSection.identificationModule.briefTitle,protocolSection.statusModule.statusVerifiedDate,protocolSection.statusModule.overallStatus,protocolSection.statusModule.completionDateStruct.date,protocolSection.sponsorCollaboratorsModule.responsibleParty.type,protocolSection.sponsorCollaboratorsModule.responsibleParty.investigatorFullName,protocolSection.sponsorCollaboratorsModule.leadSponsor.name,protocolSection.conditionsModule.conditions,protocolSection.designModule.studyType,protocolSection.designModule.enrollmentInfo.count,protocolSection.designModule.enrollmentInfo.type,protocolSection.armsInterventionsModule.interventions,protocolSection.conditionsModule.keywords,protocolSection.eligibilityModule.studyPopulation
"A Study to Evaluate Transplantation of Astrocytes Derived From Human Embryonic Stem Cells, in Patients With Amyotrophic Lateral Sclerosis (ALS)",2021-01,COMPLETED,2020-06-22,SPONSOR,,Kadimastem,['ALS (Amyotrophic Lateral Sclerosis)'],INTERVENTIONAL,16.0,ACTUAL,"[{'name': 'AstroRx', 'description': 'Astrocytes derived from human embryonic stem cells'}]",,
A Mindful Community for People With ALS and Their Primary Caregivers,2024-01,RECRUITING,2024-07-31,PRINCIPAL_INVESTIGATOR,Ellen Langer,Harvard University,"['Amyotrophic Lateral Sclerosis', 'Caregiver Burden']",INTERVENTIONAL,300.0,ESTIMATED,"[{'name': 'Mindfulness', 'description': 'Online non-meditation mindfulness program'}, {'name': 'Mindful Learning', 'description': 'Online learning program'}]","['Mindfulness', 'Quality of Life']",
Non-invasive Neurostimulation as a Tool for Diagnostics and Management for Neurodegenerative Diseases,2024-01,RECRUITING,2032-07,PRINCIPAL_INVESTIGATOR,Eino Solje,Kuopio University Hospital,"['Alzheimer Disease', 'Frontotemporal Dementia', 'Dementia With Lewy Bodies']",INTERVENTIONAL,200.0,ESTIMATED,"[{'name': 'Gamma tACS (40 Hz) over the superior parietal cortex', 'description': 'Single session of gamma tACS (40 Hz) over the superior parietal cortex'}]",,
Sociodemographic Factors and Criminal Behaviour Preceding Neurodegenerative Disease - Retrospective Register Study,2024-01,ACTIVE_NOT_RECRUITING,2027-12-31,SPONSOR,,Kuopio University Hospital,"['Neurodegenerative Diseases', 'Alzheimer Disease', 'Frontotemporal Dementia', 'Lewy Body Disease', 'Vascular Dementia', 'Parkinson Disease', 'Progressive Supranuclear Palsy', 'Corticobasal Degeneration', 'Multiple System Atrophy', 'Amyotrophic Lateral Sclerosis', 'Huntington Disease']",OBSERVATIONAL,61292.0,ESTIMATED,,,"All consecutive patients admitted to Kuopio University Hospital (KUH) and Oulu University Hospital (OUH) Neurology outpatient clinic with a progressive neurodegenerative disease during 2010-2021 are identified from KUH and OUH data registry with all ICD-10 codes used in the diagnostics of neurodegenerative diseases. Their estimated number is 5572 patients. Clinical data of these patients are retrieved from the corresponding hospital data lakes. The patients will be divided into different diagnostic groups based on the accepted diagnostic criteria in use. Further, a matched control cohort is retrieved from the Finnish Population Information System maintained by the Digital and Population Data Services Agency. Every research patient has 10 controls matched by age, gender, and place of residency (according to the year of diagnosis), and the matching is performed for research patients that were alive at the end of the year of the diagnosis."
Trial on the Biological and Clinical Effects of Acetyl-L-carnitine in ALS,2023-11,NOT_YET_RECRUITING,2026-09,SPONSOR,,Mario Negri Institute for Pharmacological Research,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,246.0,ESTIMATED,"[{'name': 'Acetyl-l-carnitine', 'description': 'Acetyl-l-carnitine'}, {'name': 'Placebo', 'description': 'placebo'}]",,
3K3A-APC for Treatment of Amyotrophic Lateral Sclerosis (ALS),2022-09,COMPLETED,2022-09-12,SPONSOR,,"Macquarie University, Australia",['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,16.0,ACTUAL,"[{'name': '3K3A-APC Protein', 'description': '3K3A-APC with intravenous dosing of five doses of either 15mg or 30mg at 12 hourly interval. The first 8 patients will receive 15mg dose, and the next 8 patients will receive 30mg dose.'}]","['ALS', 'Amyotrophic Lateral Sclerosis', 'MND', 'Motor Neurone Disease', '3K3A-APC']",
Semantic Rehabilitation for Patients With Primary Progressive Semantic Aphasia,2023-07,RECRUITING,2025-09,SPONSOR,,"University Hospital, Toulouse",['Primary Progressive Aphasia'],INTERVENTIONAL,15.0,ESTIMATED,"[{'name': 'semantic therapy and semantic re-education', 'description': 'Patients will be followed over two periods ""Phase A (randomized, 6 to 8 weeks) - Phase B (5 weeks)"".\n\nPhase A : Baseline Phase A, which constitutes the control period of semantic therapy, will be composed of lexico-phonological training exercises (Piroux-Davous, 2018). This phase will last 6 to 8 weeks (i.e. 18 to 24 sessions) depending on the randomisation, at the rate of 3 speech therapy sessions of 45 minutes per week.\n\nPhase B : Semantic re-education The sessions will consist of training based on the analysis of semantic traits (Coustaut, 2019). This phase will last 5 weeks (i.e. 15 sessions), at the rate of 3 speech therapy sessions of 45 minutes per week.\n\nIn accordance with the application of the SCED methodology, repeated measurements will be carried out every second session during phases A and B. They will consist of proposing the oral naming task (lasting 10 minutes).'}]","['Semantic primary progressive aphasia', 'semantic variant (svPPA)', 'speech therapy', 'anomia', 'metacognition', 'Single Case Experimental Design', 'technology', 'naming', 'speed of lexical access']",
Continuation Study for Latozinemab,2024-01,ENROLLING_BY_INVITATION,2027-11-30,SPONSOR,,Alector Inc.,['Neurodegenerative Diseases'],INTERVENTIONAL,35.0,ESTIMATED,"[{'name': 'Latozinemab', 'description': 'All participants will receive open-label latozinemab at a dose of 60/mg/kg, every 4 weeks'}]","['Frontotemporal Dementia (FTD)', 'Amyotrophic Lateral Sclerosis (ALS)']",
Molecular Imaging Modality by Positron Emission Tomography Using 18F-X : Study of Microglial Activation in Amyotrophic Lateral Sclerosis,2010-03,UNKNOWN,2010-12,,,"University Hospital, Tours","['Amyotrophic Lateral Sclerosis', 'Bulbar Disease', 'Spinal Disease']",INTERVENTIONAL,30.0,ESTIMATED,"[{'name': '18F-X PET SCAN', 'description': '18F-X PET Scan : Injection of 7.8 mSv for 370 MBq of dose (0.021 mSv / MBq)'}]","['neurology', 'sclerosis', 'imaging', 'tomography']",
Olfactory Deficits in Neurologic Disease,2021-08,COMPLETED,2020-07-03,PRINCIPAL_INVESTIGATOR,Mark William Albers,Massachusetts General Hospital,"['Alzheimer Disease', 'Traumatic Brain Injury', 'Amyotrophic Lateral Sclerosis', 'Frontotemporal Dementia', 'Lewy Body Disease', 'Mild Cognitive Impairment']",OBSERVATIONAL,201.0,ACTUAL,,,"1. Diagnosis of Probable Alzheimer's Disease, prodromal Alzheimer's Disease, Frontotemporal Dementia, Mild Cognitive Impairment, or Dementia with Lewy Bodies or mild and moderate/severe TBI.
2. Diagnosis of familial or sporadic ALS per El Escorial Criteria or individuals with known gene mutations associated with ALS (regardless of clinical phenotype).
3. Age-matched controls
4. Males and females with a minimum age of enrollment of 18 years. There is no maximum age of enrollment."
Clinical Research in ALS Study,2023-03,RECRUITING,2027-12,PRINCIPAL_INVESTIGATOR,Michael Benatar,University of Miami,['Amyotrophic Lateral Sclerosis'],OBSERVATIONAL,10000.0,ESTIMATED,,"['genetics', 'biomarkers', 'pre-symptomatic', 'natural history']","The CRiALS research program aims to recruit three types of participants:

* Individuals affected with ALS or a related neurodegenerative disease
* Unaffected individuals from pedigrees in which the genetic cause of ALS is known
* Healthy controls"
Unrelated Hematopoietic Stem Cell Transplantation(HSCT) for Genetic Diseases of Blood Cells,2016-06,COMPLETED,2015-08,PRINCIPAL_INVESTIGATOR,Hisham Abdel-Azim,Children's Hospital Los Angeles,"['Sickle Cell Disease', 'Thalassemia', 'Anemia', 'Granuloma', 'Wiskott-Aldrich Syndrome', 'Chediak Higashi Syndrome', 'Osteopetrosis', 'Neutropenia', 'Thrombocytopenia', 'Hurler Disease', 'Niemann-Pick Disease', 'Fucosidosis']",INTERVENTIONAL,25.0,ACTUAL,"[{'name': 'Hematopoietic stem cell transplantation', 'description': 'hematopoietic stem cell transplantation conditioning regimen depending on graft source'}]","['unrelated', 'BMT', 'HSCT', 'bone marrow transplantation', 'sickle cell disease', 'thalassemia', 'CGD', 'HLH', 'Blackfan-Diamond anemia', 'Hurler', 'leukodystrophy', 'LAD I', 'Genetic diseases', 'Red blood cell defects', 'Leukocyte defects and immune deficiencies', 'Hereditary Lymphohistiocytosis', 'chronic granulomatous disease', 'Wiskott-Aldrich syndrome', 'Chediak Higashi syndrome', 'CD40 ligand deficiency', 'Hyper IgM syndrome', 'leucocytes adhesion defect type 1', 'Osteopetrosis', 'congenital neutropenia', 'X-linked lymphoproliferative disease', 'Platelets defects', 'Congenital amegakaryocytic thrombocytopenia', 'Metabolic and storage disorders', 'Hurler disease', 'leukodystrophies', 'Niemann-Pick disease', 'Fucosidosis', 'Stem cell defects', 'reticular agenesis']",
Oxytocin and Social Cognition in Frontotemporal Dementia,2014-03,COMPLETED,2010-11,PRINCIPAL_INVESTIGATOR,Elizabeth Finger,Lawson Health Research Institute,"['Frontotemporal Dementia', ""Pick's Disease""]",INTERVENTIONAL,24.0,ACTUAL,"[{'name': 'intranasal oxytocin', 'description': 'Participants will receive 24 IU of oxytocin or placebo (Salinex saline nasal spray) intranasally 30 minutes prior to completing the experimental tasks. Two weeks later participants will return for a second visit and receive the alternate drug (either intranasal oxytocin or Salinex) prior to completing the experimental tasks.'}]","['Social Cognition', 'Oxytocin']",
Digital Smartwatch Measurements as Potential Biomarkers for Remote Disease Tracking in ALS,2024-02,WITHDRAWN,2024-02-06,SPONSOR,,University of Alberta,"['Amyotrophic Lateral Sclerosis', 'Primary Lateral Sclerosis', 'Muscular Atrophy, Progressive', 'Frontotemporal Dementia', 'Healthy']",OBSERVATIONAL,0.0,ACTUAL,,,"People living with ALS and related motor neuron diseases including ALS-Frontotemporal Dementia (ALS-FTD), Primary Lateral Sclerosis (PLS), Progressive Muscular Atrophy (PMA) and asymptomatic individuals with a known ALS mutation

AND

Healthy controls that are age and sex matched to patients"
Study to Evaluate the Safety & Efficacy of FLX-787-ODT to Treat Fasciculations in Tongue and Upper or Lower Extremity Muscles Most Affected in Subjects With ALS,2017-11,WITHDRAWN,2018-08,SPONSOR,,"Flex Pharma, Inc.","['Amyotrophic Lateral Sclerosis', 'Fasciculation']",INTERVENTIONAL,0.0,ACTUAL,"[{'name': 'FLX-787-ODT (orally disintigrating tablet)', 'description': 'Oral Disintegrating Tablet'}]","['ALS', 'Amyotrophic Lateral Sclerosis', 'Fasciculation', 'FLX-787']",
"Combined Intrathecal and Intravenous VTS-270 Therapy for Liver and Neurological Disease Associated With Niemann-Pick Disease, Type C1",2021-10,TERMINATED,2021-10-25,SPONSOR,,Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),"['Niemann-Pick Disease, Type C1']",INTERVENTIONAL,2.0,ACTUAL,"[{'name': 'VTS-270', 'description': 'Intravenous VTS-270 was administered on a monthly dosing schedule for 12 months. Each participant received one of two doses (500 or 1000mg/kg). Participants also received monthly 900 mg intrathecal VTS-270 therapy.'}]",['2-Hydroxypropyl-B-Cyclodextrin'],
Derivation of Induced Pluripotent Stem Cells From an Existing Collection of Human Somatic Cells,2023-02,RECRUITING,2025-12,PRINCIPAL_INVESTIGATOR,Benjamin Reubinoff,Hadassah Medical Organization,['Amyotrophic Lateral Sclerosis'],OBSERVATIONAL,25.0,ESTIMATED,,['ALS'],We will use human somatic cells from existing collections.
SWITCH II Early Feasibility Study: Implantable BCI to Control a Digital Device for People With Paralysis,2023-03,WITHDRAWN,2022-11-30,SPONSOR,,"Synchron Medical, Inc.","['Neurologic Disorder', 'Paralysis', 'Paralysis; Stroke', 'Amyotrophic Lateral Sclerosis', 'Muscular Dystrophies', 'Spinal Cord Injury', 'Stroke, Lacunar', 'Stroke, Brainstem', 'Upper Limb Injury', 'Spinal Muscular Atrophy']",INTERVENTIONAL,0.0,ACTUAL,"[{'name': 'Motor Neuroprosthesis', 'description': 'Type of implantable brain computer interface'}]",,
Monitoring of Non-invasive Ventilation During Sleep in ALS,2015-12,COMPLETED,,PRINCIPAL_INVESTIGATOR,Dr. Dries Testelmans,Universitaire Ziekenhuizen KU Leuven,['Amyotrophic Lateral Sclerosis'],OBSERVATIONAL,40.0,ACTUAL,,"['Amyotrophic Lateral Sclerosis', 'Noninvasive Ventilation', 'Polysomnography']","Amyotrophic lateral sclerosis patients, which are followed at the Neuromuscular Reference Centre UZ Leuven, in need for NIV treatment"
French-German Cohort Study to Determine Factors Associated With Weight Loss in Amyotrophic Lateral Sclerosis,2023-06,NOT_YET_RECRUITING,2028-03-31,SPONSOR,,"University Hospital, Limoges",['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,1000.0,ESTIMATED,"[{'name': 'Blood sample', 'description': 'Blood sample will be taken to identify Genomic, metabolomic, metabolic, neurofilaments, and inflammation markers associated to weight loss'}]","['Amyotrophic lateral sclerosis', 'Weight Loss', 'Genetics', 'Nutrition', 'Prognosis', 'Metabolomics', 'Inflammation']",
Quality of Life Evaluation With the SRI Questionnaire of ALS Patient With Non-invasive Ventilation,2023-09,RECRUITING,2024-09-13,SPONSOR,,Assistance Publique - Hôpitaux de Paris,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,48.0,ESTIMATED,"[{'name': 'Score completion', 'description': 'completion of the SRI score'}]","['amyotrophic lateral sclerosis', 'quality of life evaluation', 'SRI questionnaire', 'Zarit Burden interview']",
Expanded Access Protocol of BHV-0223 for Patients With Amyotrophic Lateral Sclerosis (ALS),2019-07,NO_LONGER_AVAILABLE,,SPONSOR,,"Biohaven Pharmaceuticals, Inc.","['Amyotrophic Lateral Sclerosis', 'ALS', 'Lou Gehrig Disease', ""Lou Gehrig's Disease"", 'Lou-Gehrigs Disease', 'Motor Neuron Disease, Amyotrophic Lateral Sclerosis']",EXPANDED_ACCESS,,,"[{'name': 'Riluzole', 'description': 'For adult patients, one 40mg of BHV-0223, administered sublingually, on a twice daily basis (approximately every 12 hours).'}]","['Amyotrophic Lateral Sclerosis', 'ALS', 'Lou Gehrig Disease', ""Lou Gehrig's Disease"", 'Lou-Gehrigs Disease', 'Motor Neuron Disease, Amyotrophic Lateral Sclerosis', 'Riluzole', 'Rilutek®', 'Sublingual', 'Oral formulation', 'Neuroprotective Agents', 'Administration, Sublingual', 'Administration, Oral', 'Biological Availability']",
"Establishment of Genomic and Phenotypic Database for Niemann-Pick Disease, Type C",2024-01-23,RECRUITING,2024-09-30,SPONSOR,,Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),"['Niemann-Pick Disease, Type C']",OBSERVATIONAL,100.0,ESTIMATED,,"['Genetic', 'Clinical', 'DNA', 'Medical', 'History', 'Natural History']","Individuals with Niemann-Pick Disease, type C"
"A Study to Assess the Safety, Tolerability, and Pharmacology of Darifenacin in Patients With ALS",2024-01,NOT_YET_RECRUITING,2026-06,PRINCIPAL_INVESTIGATOR,Oliver Blanchard,McGill University,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,30.0,ESTIMATED,"[{'name': 'Darifenacin 7.5 MG Extended Release Oral Tablet', 'description': 'During the first two weeks (titration period), patients in the treatment arm will receive a daily dose of 7.5 mg darifenacin extended-release tablet. After the titration period, the dose will be increased to 15 mg once daily, which consists of two 7.5 mg tablets together for a period of 22 weeks.'}, {'name': 'Placebo', 'description': 'During the first two weeks (titration period), patients in the placebo arm will receive a daily dose of 1 placebo tablet. After the titration period, the dose will be increased to two placebo tablets taken together, for a period of 22 weeks.'}]","['Amyotrophic lateral sclerosis', 'Darifenacin', 'Neuromuscular junction']",
Single & Multiple Ascending Dose Study of SAR443820 in Healthy Adult Participants,2023-03,COMPLETED,2021-07-20,SPONSOR,,Sanofi,['Amyotrophic Lateral Sclerosis (Healthy Volunteers)'],INTERVENTIONAL,84.0,ACTUAL,"[{'name': 'SAR443820', 'description': 'Capsule / Oral'}, {'name': 'Placebo', 'description': 'Matching Capsule / Oral'}]",,
Development of iPS From Donated Somatic Cells of Patients With Neurological Diseases,2022-08,RECRUITING,2025-12,SPONSOR,,Hadassah Medical Organization,['Neurodegenerative Disorders'],OBSERVATIONAL,120.0,ESTIMATED,,"['Amyotrophic Lateral Sclerosis', 'Familial Dysautonomia', ""Parkinson's Disease"", ""Alzheimer's Disease"", 'Age Related Macular Degeneration', 'Retinitis Pigmentosa', ""Huntington's Disease"", 'Machado - Joseph Disease', 'SMA - Spinal Muscular Atrophy', 'Ataxia Telangiectasia']",120 donors to cover 10 different neurodegenerative disorders (previously specified) based on 10 donors per disorder and 20 healthy control donors.
Effects of ODM-109 on Respiratory Function in Patients With Amyotrophic Lateral Sclerosis,2016-08,COMPLETED,2017-06,SPONSOR,,"Orion Corporation, Orion Pharma",['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,66.0,ACTUAL,"[{'name': 'ODM-109', 'description': 'ODM-109 1 mg capsule for oral administration.'}, {'name': 'Placebo for ODM-109', 'description': 'Placebo capsule for oral administration.'}]",,
"Phase 1/2 Study of Vorinostat Therapy in Niemann-Pick Disease, Type C1",2018-01-13,COMPLETED,2016-12-13,SPONSOR,,Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),['Neimann-Pick Disease'],INTERVENTIONAL,12.0,ACTUAL,"[{'name': 'Vorinostat', 'description': 'Histone deactylase inhibitor'}]","['Niemann Pick Disease, Type C1', 'Phase I, Phase 2', 'Vorinostat']",
"A Study of GDC-0134 to Determine Initial Safety, Tolerability, and Pharmacokinetic Parameters in Participants With Amyotrophic Lateral Sclerosis",2020-08,COMPLETED,2020-03-16,SPONSOR,,"Genentech, Inc.",['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,54.0,ACTUAL,"[{'name': 'GDC-0134', 'description': 'GDC-0134 capsule will be administered orally at various doses, depending on the cohort and treatment period.'}, {'name': 'Placebo', 'description': 'Placebo matching to GDC-0134'}, {'name': 'Rabeprazole', 'description': 'Rabeprazole 20 mg twice daily orally'}, {'name': 'Midazolam', 'description': '2mg of liquid formulation of midazolam orally'}, {'name': 'Caffeine', 'description': '100 mg tablet or solution of caffeine orally'}]",,
Open Label Pilot Study of the Effects of Memantine on FDG-PET in Frontotemporal Dementia,2012-06,COMPLETED,2012-06,SPONSOR_INVESTIGATOR,"Tiffany Chow, MD","Tiffany Chow, MD",['Frontotemporal Dementia'],INTERVENTIONAL,17.0,ACTUAL,"[{'name': 'memantine hydrochloride', 'description': 'memantine hydrochloride oral tablets, 10mg po bid'}]","['PET', 'frontotemporal dementia', 'memantine', ""Pick's disease""]",
SSRIs vs. TCAs for Depression in ALS Patients,2020-01,COMPLETED,2019-05-30,PRINCIPAL_INVESTIGATOR,Ghazala Hayat,St. Louis University,"['Depression', 'Amyotrophic Lateral Sclerosis']",INTERVENTIONAL,2.0,ACTUAL,"[{'name': 'Tricyclic Antidepressants (""TCA"")', 'description': 'if patient shows signs of depression they will be placed on one of these medications and seen by a psychiatrist.'}, {'name': 'Selective Serotonin Uptake Inhibitors (""SSRI"")', 'description': 'if patient shows signs of depression they will be placed on one of these medications and seen by a psychiatrist.'}]",,
AMX0035 in Patients With Amyotrophic Lateral Sclerosis (ALS),2021-07,COMPLETED,2019-11-24,SPONSOR,,Amylyx Pharmaceuticals Inc.,"['Amyotrophic Lateral Sclerosis', 'Motor Neuron Disease', 'Neuromuscular Diseases', 'Neurodegenerative Diseases', 'Spinal Cord Diseases', 'TDP-43 Proteinopathies', 'Nervous System Diseases', 'Central Nervous System Diseases']",INTERVENTIONAL,137.0,ACTUAL,"[{'name': 'AMX0035', 'description': 'AMX0035'}, {'name': 'Placebo', 'description': 'Matching Placebo Comparator'}]","['Randomized', 'Double-blind', 'Placebo-controlled', 'Amyotrophic Lateral Sclerosis', 'Sodium Phenylbutyrate', 'Tauroursodeoxycholic Acid']",
Intermediate Expanded Access Protocol for ALS,2024-02,AVAILABLE,,SPONSOR,,Clene Nanomedicine,['Amyotrophic Lateral Sclerosis'],EXPANDED_ACCESS,,,"[{'name': 'CNM-Au8', 'description': 'CNM-Au8 is an aqueous suspension of clean surfaced faceted nanocrystals consisting of gold atoms self-organized into crystals of various geometrical shapes (hexagonal bi-pyramid, pentagonal bipyramid, tetrahedron, decahedron, planar spheroids). Highly pure elemental Au nanocrystals are suspended in USP purified deionized water buffered with 0.546 mg/mL (6.5 mM) sodium bicarbonate (NaHCO3) nominally concentrated to 0.5 mg/L (500 ppm). CNM-Au8 will be administered orally in volumes of 60 mL from single-dose HDPE containers. Participants will orally receive 30 mg of CNM-Au8 once daily.'}]","['ALS', 'Gold', 'Nanoparticle', 'Expanded access', 'Au8', 'CNMAu8']",
Relapse Prevention Study of Pimavanserin in Dementia-related Psychosis,2021-05,COMPLETED,2019-10-30,SPONSOR,,ACADIA Pharmaceuticals Inc.,['Dementia-related Psychosis'],INTERVENTIONAL,392.0,ACTUAL,"[{'name': 'Placebo', 'description': 'Placebo, tablets, once daily by mouth'}, {'name': 'Pimavanserin 34 mg', 'description': 'Pimavanserin 34 mg total daily dose, tablets, once daily by mouth'}, {'name': 'Pimavanserin 20 mg', 'description': 'Pimavanserin 20 mg total daily dose, tablets, once daily by mouth'}]","['Dementia', 'Dementia-related psychosis', ""Dementia associated with Parkinson's disease"", 'Dementia with Lewy bodies', ""Alzheimer's disease"", 'Behavioral variant frontotemporal dementia', 'Progressive supranuclear palsy', 'Corticobasal degeneration', 'Vascular dementia', 'Hallucinations', 'Delusions', 'Psychosis']",
Intrathecal Autologous Adipose-derived Mesenchymal Stromal Cells for Amyotrophic Lateral Sclerosis (ALS),2024-01,ACTIVE_NOT_RECRUITING,2025-02,PRINCIPAL_INVESTIGATOR,Nathan P. Staff,Mayo Clinic,"['ALS', 'Amyotrophic Lateral Sclerosis']",INTERVENTIONAL,75.0,ACTUAL,"[{'name': 'Autologous Adipose-derived Mesenchymal Stromal Cells', 'description': ""The investigational product consists of autologous adipose-derived Mesenchymal Stromal Cells (MSCs), suspended in 5-10 mL Lactated Ringer's. The MSC are provided in a sterile syringe labelled with appropriate patient and product identifiers ready for intrathecal injection.""}]",,
Noninvasive Examination of the Work of Breathing in Patients With Amyotrophic Lateral Sclerosis (ALS).,2013-03,TERMINATED,2013-02,SPONSOR,,Drexel University College of Medicine,"['Amyotrophic Lateral Sclerosis', 'Neurodegenerative Disease', 'Motor Neuron Disease']",OBSERVATIONAL,10.0,ACTUAL,,"['Amyotrophic Lateral Sclerosis', 'Cerebrospinal Fluid', 'Neurodegenerative Disease', 'Motor Neuron Disease', 'Autonomic Nervous System', 'Neurodegenerative Diseases', 'Movement Disorders']",ALS clinic patients at MDA/ALS Center of Hope.
Nightime NIV Initiation in Amyotrophic Lateral Sclerosis in an Outpatient Setting,2016-04,COMPLETED,2014-03,PRINCIPAL_INVESTIGATOR,Enrica Bertella,Fondazione Salvatore Maugeri,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,50.0,ACTUAL,"[{'name': 'Nightime NIV initiation', 'description': 'In-hospital vs home'}]",,
Exogenous Toxicants and Genetic Susceptibility in ALS,2006-03,COMPLETED,2002-08,,,National Institute of Environmental Health Sciences (NIEHS),['Amyotrophic Lateral Sclerosis'],OBSERVATIONAL,525.0,,,,
Early Access Program With Arimoclomol in US Patients With NPC,2023-11,AVAILABLE,,SPONSOR,,ZevraDenmark,"['Niemann-Pick Disease, Type C']",EXPANDED_ACCESS,,,"[{'name': 'Arimoclomol', 'description': 'Participants receive prescribed arimoclomol by oral administration'}]",,
Stem Cell Therapy for Amyotrophic Lateral Sclerosis,2018-10,WITHDRAWN,2013-08,SPONSOR,,Neurogen Brain and Spine Institute,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,0.0,ACTUAL,"[{'name': 'Stem cell', 'description': 'Autologous bone marrow derived mononuclear cells were administered via intrathecal and intramuscular routes.'}]",,
The E-health Application To Modify ORal Energy Intake and Measure Outcomes REmotely in ALS Clinical Trial (EAT MORE2),2022-02,COMPLETED,2021-12-31,PRINCIPAL_INVESTIGATOR,"Anne-Marie Alexandra Wills, MD",Massachusetts General Hospital,['Amyotrophic Lateral Sclerosis'],OBSERVATIONAL,87.0,ACTUAL,"[{'name': 'ALS Nutrition App (MyDataHelps platform)', 'description': 'We have designed a mobile health app to provide nutritional counseling and to measure disease outcomes both through self-reported questionnaires and through passive data collection.'}]",,"Adults with ALS without dysphagia, diabetes or cardiovascular disease"
ALD-101 Adjuvant Therapy of Unrelated Umbilical Cord Blood Transfusion (UCBT) in Patients With Inherited Metabolic Diseases,2014-07,TERMINATED,2011-11,SPONSOR,,Aldagen,"['Inherited Metabolic Diseases', 'Lysosomal Storage Disorders', 'Peroxisomal Storage Diseases', 'Inborn Errors of Metabolism', 'Mucopolysaccharidosis']",INTERVENTIONAL,40.0,ESTIMATED,"[{'name': 'ALD-101', 'description': 'A subpopulation of cord blood cells composed of cells that express a high level of the intracellular enzyme aldehyde dehydrogenase (ALDH).'}]","['Hurler Syndrome', 'MPS I', 'Hurler-Scheie Syndrome', 'Hunter Syndrome', 'MPS II', 'Sanfilippo Syndrome', 'MPS III', 'Maroteaux-Lamy Syndrome', 'MPS VI', 'Krabbe Disease', 'Globoid Leukodystrophy', 'Metachromatic Leukodystrophy', 'MLD', 'Adrenoleukodystrophy', 'ALD', 'Adrenomyeloneuropathy', 'AMN', 'Sandhoff Disease', 'Tay Sachs Disease', 'Pelizaeus Merzbacher', 'PMD', 'Niemann-Pick Disease A', 'Niemann-Pick Disease B', 'Alpha-mannosidosis', 'Inherited metabolic diseases', 'Inborn errors of metabolism', 'Lysosomal storage diseases', 'Peroxisomal storage diseases', 'Hematopoietic stem cell transplantation', 'Umbilical cord blood transplantation', 'Mucopolysaccharidosis', 'Mucopolysaccharidosis I', 'Mucopolysaccharidosis II', 'Mucopolysaccharidosis III', 'Mucopolysaccharidosis VI', 'I Cell disease', 'Fucosidosis', 'GM1 Gangliosidosis', 'Canavan Disease']",
rTMS for the Treatment of Primary Progressive Aphasia: A Randomized Controlled Trial,2020-06,WITHDRAWN,2021-12-31,SPONSOR,,Peking Union Medical College Hospital,"['Aphasia, Primary Progressive', 'Repetitive Transcranical Magnetic Stimulation']",INTERVENTIONAL,0.0,ACTUAL,"[{'name': 'Magstim rTMS', 'description': 'The device is made in London,UK'}]",,
"Biospecimen Biorepository for the Study of ALS, ALS-FTD and Similar Neurodegenerative Disorders",2023-11,RECRUITING,2030-01,PRINCIPAL_INVESTIGATOR,Bjorn E. Oskarsson,Mayo Clinic,['Amyotrophic Lateral Sclerosis'],OBSERVATIONAL,100.0,ESTIMATED,,,Subjects with ALS and similar neurodegenerative disorders and their family members will be identified from patients seen in the Department of Neurology at Mayo Clinic Florida on the basis of a diagnosis of ALS or a similar neurodegenerative disorder.
"Study of IV VTS-270 for Infantile Liver Disease Associated With Niemann-Pick Disease, Type C",2023-10,RECRUITING,2024-06,SPONSOR,,Washington University School of Medicine,"['Niemann-Pick Disease, Type C']",INTERVENTIONAL,12.0,ESTIMATED,"[{'name': 'adrabetadex (2-Hydroxypropyl-Beta-Cyclodextrin)', 'description': 'VTS-270 (2-Hydroxypropyl-Beta-Cyclodextrin) will be administered intravenously to specifically target liver disease. In the first phase of the study, dosing frequency will be twice a week with IV adrabetadex (VTS-270) for six weeks for a total of 12 administrations. Subjects will be evaluated at each study visit for evidence of adverse effects.\n\nDoses to be studied are 500, and 1000 mg/kg. Six subjects will be studied at each dose level. Cohort 1: Subjects 1-6, 500 mg/kg Cohort 2: Subjects 7-12, 1000 mg/kg'}]",,
